1,赞 下次 还订
0,我要 榛果 铁 送 纯拿铁 没 碰到
0,晚 久 说 这卷 饼 不刷酱 菜单 写 刷酱 一点 味
1,百度 外卖 赞 店家 包装 提高 洒
0,操 送来 全洒 说 夏天 送来 全是 凉 一个半 小时 送到 特 做 蜗牛 破 外卖 妈 负分 菜品 特
0,分钟 送到 凉 不知 剩下 吃 完 拉肚子
1,没 品尝 快递 员少 找 一块钱 点心 一块 找 元 郁闷
0,无奈 饭 看着 好吃 筷子 配送 员 配送 员 送 商家 商家 说 下楼 买 筷子 真逗 说 下次 再订 打折 只能 说 下次 奇葩 餐厅 一星 不想
0,俩 小时 没人 送 电话 不通
0,送 超级 慢 勺子 焦糖 布丁 洒 没法 吃
0,米线 碎 一股 搜 味道 吃
1,干 煸 四季豆 特别 好吃 豆腐 太嫩
0,炸酱面 沱 没饭 吃
0,送餐 超时
0,点 单 中午 没 睡觉 点才 送来 商店 电话 语音 提示 加微信 查询 转接 人工 挂掉 加微 信后 咨询 回复 百度 外卖 客服 打电话 取消 说 取消 醉
0,换菜 说 不放辣 放
1,送 餐员 态度 效率高
0,五十分钟 送来 面都 妥 第一次 订餐 半小时 送到 力
0,很差 时间 太短 好吃
1,尖椒 土豆丝 说好 尖椒 全是 土豆丝 大号 卷 饼 太大 粥 不错
0,洒 配送 太 差
0,肘子 肉
1,送餐 快 味道 满减 更好
0,酸辣粉 太 不算 好吃
0,没什么 味道
0,送餐 时间 远超 小时 骗 说 送 餐员 路上 小时 爬 爬 差评
0,商家 负责 百度 外卖 负责 推来推去 垃圾 软件 赶紧 黄 两次 饿着肚子 钱到 手里
0,少送 肥牛
0,好像 零钱 样子
0,没见 九寸 披萨 量 厘米 寸 区别
1,送餐 太快 一种 错
0,半小时 送到 五花肉 味道 配菜 青 辣椒
0,送得 太慢 两 小时
0,快递 穿心莲 一半 坏 一半 绿 一半 烂 菜 叶子 黄色 没法 吃 再也 定 外卖 伤心
0,配送 速度 差评 慢 一等 一个半 小时 抓狂
1,确实 不错 肘子 好吃
1,送餐 人员 热情 小雨 辛苦 大老远 送来
0,微辣 送来 麻辣 好吃
0,难吃 快递 小哥 东西 颠坏
0,菜 没法 吃 外包装 挺 打开 一看 晕死 肉 酸臭 米饭 不太熟 真心 没法 吃 店家 解释
0,味道 还好 送餐 速度 满 点 增加 配送 人员
1,不错 豆腐脑 好喝 油条 煎饼 好吃 豆浆 还备 糖 周到
0,一个多 小时 送到 太慢
1,热乎乎 谢谢 送 餐员 辛苦 速度 很快 谢谢
1,很快 一楼 第一次 送上门 两次
1,明明 说 辣 好辣
0,超级 慢 等待 分钟 吃 胃 疼 饿 过头 送 餐员 电话
0,秘制 凉皮 多油 西二旗 家 太 油腻 肉夹馍
0,明明 备注 茄子 肉末 面 改成 茄子 肉末 饭 送过来 面 成 一团 没法 吃
0,地图 小区 转到 小区 外面 夏日 炎炎 送餐 总算 吃
0,豆浆 全撒 没 喝 炒饭 冷
0,满 三十 为啥 没 优惠
0,太慢 近要 小时 送来
0,天热放坏 吃 完 晚上 拉肚子 卖相 店里
1,不错 服务
0,炒 味 太咸
1,菜量 挺 快递 速度 太给力
0,烧二冬 冬笋 没 泡开 咬不动
1,团购 超值 味道 不错 女生 吃
0,味道 好吃 送 慢
0,黑椒 牛柳 太咸 咖喱 时间 太久 胡萝卜 馊味
0,锅包肉 姐姐 喜欢 吃
0,想像 贵
1,量 吃 三分之二 饱
0,好吃 快递 大叔 辛苦
0,优惠 结束
1,不错 订 哈哈哈哈
0,凉菜 有点儿 咸了 牛杂 好吃 没
0,希望 增加 分量 分量 少 走下坡路 俞府 忠实 粉丝
0,飘香 肘子 没 吃 鸡肉 蔬菜 没 吃 小哥 吃 俩 土豆丝 大热天 没 追究 饼 不错 吃 肘子 鸡肉
0,肉饼 粥 凑合 一点 单 二点 半才 送到 说 电动车 没电 送到 买家 沟通 买家 不上 苦
0,香菇 鸡肉 卷 太 咸 皮蛋 瘦 粥 真的 迷你 皮蛋 皮蛋 肉 肉 米 米
0,送 筷子 手 抓
1,买 两份 馅饼 一份 没 解释 为啥 没 退钱
1,包装
1,味道 不错
1,整体 不错 不错 不错
0,油太腻 米线 太 外带 没少
0,肉 肉 少 好多
0,送餐 超时 太慢 送到 餐 全凉 套餐 里 送 薯条 百度 外卖 汉堡 王 商家 太 差劲
1,好吃 送餐 准时
0,忘记 说别 放辣 辣得 全倒
0,口味 倒 份量 中分 男生 吃 完后 晚上 拉肚子 他家 关系
1,快递 员真快 态度 表扬
1,特别 师傅 冒雨 送 快 感谢 百度 外卖 送货 师傅
0,水平 有限
0,汤横 送过来 撒
1,送来 挺快 味道 不错
0,粥 虫子 一碗 粥 找出 五只 虫子 店方 打电话 说 照片
0,太 难吃 扔掉 全是 沙拉酱 甜 抄手
1,好吃 希望 速度 加快
0,分钟
0,菜量 汤洒 一大半 很闲 点 换 快 挺
0,太差 饭盒 很小 盒饭 装 半盒
0,做 太 咸 没法 吃
0,口味
0,只想 说 猪手 好少
0,炒饭 油腻 配送 慢
0,白粥 不错 生 煎 不算 正宗 韭菜 盒子 总体 不错
0,没 送到 一个多 小时 送达 送
1,快递 员 辛苦
1,好吃 干净 肘子 肥肉 不腻 百度 活动 给力 一百分
0,刚 吃 完 点 这家 没错 感觉 饿 那换 一家 我怕 撑 不到 餐来
0,粥 稀 卷饼 厚 内容 少 等待时间 太 漫长 服务态度 不错
0,时间 太久 店里 吃 中薯 中 外卖 送来 太小 送来 可乐 剩 一半 一半 漏 完 醉醉
1,谢谢 骑士 辛苦
0,送晚 配送 员 送错 地方 面都断 没嚼劲 汤洒
0,菜 好吃 等待时间 太久 不到 点下 单 两个 小时
0,亲 餐是 冷 胃 疼
1,快递 特别 快快 快
0,好吃 一个多 小时 送货 太忙慢
0,本来 常客 肉夹馍 里 吃 一根 黑毛 貌似 鼻毛 不想 吃 还敢定 谁家 外卖
0,干锅 千叶 豆腐 好吃 鱼香肉丝 生姜 味 太重
0,土豆 炒 腊肉 成 土豆 炒 土豆 找 好久 没 找到 几片 腊肉 味道 倒
1,太好了
0,送餐 速度 蜗牛 还慢 分钟 送到 放 蔬菜 往里面 放 态度 不好
0,不到 十一点 订单 一点半 送到 醉
1,百度 外卖 送餐 速度 快 服务 不错
1,皮蛋 粥 稀
0,配菜 包菜 差评
1,肉 少 只花 四块 钱 期待
1,配送 快 分钟 送到
0,订 两份 送 一份 第二份 四十分钟 没 送
0,定 服 气 黄焖 鸡 吃 红烧 鸡块 说 点
0,差评 差评 十点 定 一点半 送到 道歉 再也不会 定
0,吃
0,送餐 太慢 两个 小时 语
